                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2020


NAME: Longmont, CO                  
ELEV: 5000 feet    LAT: 40-00.00 N    LONG: 105-00.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   79.5  111.2  14:51   52.7  06:07    0.0   14.5   0.00    2.6   16.7  14:52    106
 02   80.0  103.1  14:46   62.1  04:58    0.0   15.0   0.00    2.5   21.7  15:50     74
 03   76.1  108.3  14:48   55.4  05:31    0.0   11.1   0.00    2.4   18.4  17:25     62
 04   72.8  100.6  12:21   52.5  05:11    0.0    7.8   0.00    3.7   26.7  13:08    138
 05   80.0  110.5  14:42   55.4  05:47    0.0   15.0   0.00    2.7   19.2  18:39    102
 06   69.6   93.2  14:15   54.7  23:56    0.0    4.6   0.00    2.4   33.3  15:26    154
 07   72.6  108.7  18:32   45.7  05:50    0.0    7.6   0.00    2.1   19.2  14:24     45
 08   64.2   93.0  14:38   45.9  05:45    0.8    0.0   0.00    5.0   31.6  19:24     47
 09   59.6   81.9  18:21   43.3  03:50    5.4    0.0   0.00    6.1   28.3  01:52     22
 10   67.4  101.3  17:42   40.8  06:02    0.0    2.4   0.00    2.4   17.6  14:06     78
 11   71.2  101.7  17:46   44.2  05:48    0.0    6.2   0.00    2.3   15.1  11:11     76
 12   76.2  109.9  15:22   46.4  06:00    0.0   11.2   0.00    2.5   12.6  20:06     93
 13   72.4   98.6  14:52   56.8  05:20    0.0    7.4   0.00    2.6   28.3  13:36     71
 14   82.9  110.3  15:30   63.7  06:12    0.0   17.9   0.00    4.3   18.4  00:47    102
 15   78.2  109.0  14:52   50.0  05:55    0.0   13.2   0.00    2.5   13.4  16:00     45
 16   78.8  106.5  15:56   52.5  05:18    0.0   13.8   0.00    1.7   12.6  11:22     64
 17   77.5  110.5  15:31   51.3  05:56    0.0   12.5   0.00    2.8   20.9  18:51     53
 18   60.9   84.0  13:27   47.8  06:15    4.1    0.0   0.00    2.6   18.4  11:57     95
 19   59.5   80.1  18:47   50.0  23:59    5.5    0.0   0.00    1.5   15.9  14:20     67
 20   71.1  102.0  16:23   42.6  05:51    0.0    6.1   0.00    2.0   15.9  16:49     77
 21   71.5   98.2  14:00   56.8  23:55    0.0    6.5   0.00    1.9   25.0  17:02     73
 22   72.9  101.8  17:09   51.4  05:30    0.0    7.9   0.00    2.2   17.6  23:04     69
 23   74.0  102.6  14:59   53.4  05:07    0.0    9.0   0.00    2.1   11.8  10:25     68
 24   75.2  110.8  15:44   52.7  06:07    0.0   10.2   0.00    2.4   20.9  19:11     81
 25   75.2  105.6  13:44   51.6  05:05    0.0   10.2   0.00    3.2   25.0  22:21     66
 26   69.1   97.9  14:06   53.8  06:01    0.0    4.1   0.00    2.2   15.1  11:33     68
 27   75.3  106.5  12:53   53.8  04:45    0.0   10.3   0.00    2.8   19.2  16:01     38
 28   73.5  106.0  14:57   52.9  06:00    0.0    8.5   0.00    1.8   18.4  15:40     58
 29   78.8  113.0  16:59   51.6  05:50    0.0   13.8   0.00    1.8   13.4  13:04     67
 30   71.5   99.5  16:16   53.8  06:15    0.0    6.5   0.00    3.3   20.9  12:47     76
---------------------------------------------------------------------------------------
      72.9  113.0     29   40.8     10   15.8  253.2   0.00    2.7   33.3     06     67
    
