                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2020


NAME: Longmont, CO                  
ELEV: 5000 feet    LAT: 40-00.00 N    LONG: 105-00.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   75.4  102.9  16:35   48.9  05:57    0.0   10.4   0.00    2.4   18.4  14:57     87
 02   79.6  114.3  17:11   52.5  06:03    0.0   14.6   0.00    2.2   15.9  15:08     75
 03   78.6  105.3  14:58   58.6  06:28    0.0   13.6   0.00    2.7   19.2  22:14     69
 04   75.4  105.6  12:37   57.4  05:59    0.0   10.4   0.00    3.2   19.2  17:05     43
 05   74.9  102.0  19:05   52.9  05:34    0.0    9.9   0.00    2.6   18.4  15:02     70
 06   78.4  110.8  14:23   55.2  05:57    0.0   13.4   0.00    2.3   12.6  14:12     60
 07   79.6  111.0  15:40   55.0  05:47    0.0   14.6   0.00    2.8   25.0  13:05    113
 08   79.8  106.9  18:26   49.5  05:58    0.0   14.8   0.00    3.8   23.4  13:14     22
 09   80.2  109.9  15:49   55.4  05:50    0.0   15.2   0.00    3.0   20.0  19:00     65
 10   82.6  111.9  16:14   59.2  06:07    0.0   17.6   0.00    3.1   21.7  13:43     67
 11   81.6  108.7  16:31   57.7  06:11    0.0   16.6   0.00    2.3   13.4  16:46     72
 12   78.6  105.1  12:07   55.0  06:06    0.0   13.6   0.00    2.2   13.4  15:50    100
 13   80.0  109.4  14:36   61.7  02:55    0.0   15.0   0.00    3.5   29.1  18:31     77
 14   70.4   86.4  12:47   62.1  05:23    0.0    5.4   0.00    3.0   16.7  18:05     53
 15   71.3   90.5  16:35   54.5  05:56    0.0    6.3   0.00    2.4   19.2  08:45     63
 16   75.9  109.0  14:46   52.3  06:04    0.0   10.9   0.00    2.8   20.0  14:26     86
 17   80.7  111.9  14:23   58.3  06:35    0.0   15.7   0.00    2.2   19.2  14:52     73
 18   80.0  108.7  11:02   58.8  06:00    0.0   15.0   0.00    1.9   17.6  14:47     70
 19   76.7   97.7  12:35   61.7  05:08    0.0   11.7   0.00    2.5   15.1  14:18     76
 20   78.9  108.5  15:21   59.9  06:19    0.0   13.9   0.00    3.1   20.9  17:59     56
 21   78.1  103.8  16:29   59.0  05:42    0.0   13.1   0.00    3.5   24.2  22:08     50
 22   74.6  104.4  14:38   54.5  05:57    0.0    9.6   0.00    2.6   23.4  18:30     53
 23   80.7  109.6  16:01   61.5  06:14    0.0   15.7   0.00    2.5   15.9  14:59     60
 24   74.0   95.4  12:19   64.6  00:00    0.0    9.0   0.00    2.2   15.1  13:26     78
 25   71.9   96.4  12:25   60.4  05:08    0.0    6.9   0.00    2.3   20.0  14:08     40
 26   71.5   88.2  17:57   60.3  23:59    0.0    6.5   0.00    1.2   11.8  13:29     64
 27   75.7  104.2  16:23   54.5  05:37    0.0   10.7   0.00    2.5   15.1  16:06     82
 28   73.5   96.6  13:50   60.1  05:20    0.0    8.5   0.00    2.3   24.2  14:37     57
 29   75.8  107.6  14:52   54.5  06:08    0.0   10.8   0.00    3.5   20.9  18:42     65
 30   68.3   92.1  15:00   53.6  06:10    0.0    3.3   0.00    2.7   21.7  15:08     57
 31   71.9  104.0  14:56   52.2  06:27    0.0    6.9   0.00    2.1   24.2  23:01     66
---------------------------------------------------------------------------------------
      76.6  114.3     02   48.9     01    0.0  359.7   0.00    2.6   29.1     13     64
    
