                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2020


NAME: Longmont, CO                  
ELEV: 5000 feet    LAT: 40-00.00 N    LONG: 105-00.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   73.3  102.6  14:22   50.5  05:55    0.0    8.3   0.00    2.4   15.9  16:27     72
 02   73.5   99.7  14:25   56.8  05:33    0.0    8.5   0.00    2.4   12.6  09:59     50
 03   74.6  102.4  18:03   54.0  05:55    0.0    9.6   0.00    2.3   13.4  21:18     57
 04   76.4  102.7  15:20   58.6  06:10    0.0   11.4   0.00    2.7   21.7  17:55     58
 05   74.0   97.0  14:43   57.4  05:09    0.0    9.0   0.00    2.5   21.7  15:31     59
 06   74.8  109.6  16:20   55.8  06:40    0.0    9.8   0.00    1.8   15.1  17:20     85
 07   79.1  112.1  16:15   51.6  06:20    0.0   14.1   0.00    2.2   17.6  13:09     47
 08   79.8  109.0  16:01   56.7  05:19    0.0   14.8   0.00    2.4   17.6  13:36     62
 09   80.4  116.8  15:15   51.3  05:56    0.0   15.4   0.00    2.3   21.7  16:39     64
 10   76.5  106.0  16:44   58.5  06:42    0.0   11.5   0.00    2.2   13.4  03:39     60
 11   76.8  108.5  12:55   54.5  06:28    0.0   11.8   0.00    1.6   15.9  15:59     79
 12   75.1  109.4  16:27   53.2  05:57    0.0   10.1   0.00    2.0   15.9  14:58     69
 13   78.2  109.8  15:08   51.8  06:27    0.0   13.2   0.00    1.8   18.4  14:38     82
 14   75.7  106.0  15:18   52.9  06:33    0.0   10.7   0.00    2.6   19.2  09:59     60
 15   77.7  111.0  15:59   54.3  06:50    0.0   12.7   0.00    1.8   14.2  16:37     68
 16   78.8  110.8  15:54   54.0  06:45    0.0   13.8   0.00    1.8   16.7  16:13     63
 17   80.3  110.1  16:46   58.8  06:45    0.0   15.3   0.00    1.8   13.4  15:53     63
 18   78.6  112.5  14:18   55.9  06:07    0.0   13.6   0.00    1.3   11.8  17:30    119
 19   77.4  102.2  12:56   58.6  06:51    0.0   12.4   0.00    1.7   18.4  16:40     66
 20   75.8  101.8  17:00   55.0  06:43    0.0   10.8   0.00    1.7   15.9  20:46     81
 21   77.8  107.4  16:09   53.8  06:12    0.0   12.8   0.00    1.3   10.9  11:20     81
 22   77.6  110.8  14:27   53.8  06:32    0.0   12.6   0.00    1.3   14.2  15:14     76
 23   75.7  105.1  14:07   52.0  06:49    0.0   10.7   0.00    0.7   10.1  13:30     50
 24   81.6  110.1  15:03   59.0  06:42    0.0   16.6   0.00    1.6   14.2  12:52     66
 25   79.5  108.1  14:22   59.0  06:34    0.0   14.5   0.00    2.1   19.2  19:48     56
 26   77.1  107.4  14:09   59.0  06:51    0.0   12.1   0.00    2.6   15.9  15:39    104
 27   76.1  112.8  16:05   53.4  06:42    0.0   11.1   0.00    2.4   15.9  17:03     77
 28   67.7   84.6  11:18   58.5  23:58    0.0    2.7   0.00    1.9   15.9  04:18     65
 29   64.5   88.2  17:49   52.2  05:03    0.5    0.0   0.00    1.6   21.7  19:11     77
 30   76.1   99.7  14:06   56.7  06:42    0.0   11.1   0.00    4.6   27.5  23:40     53
 31   61.8   83.3  12:32   43.2  06:14    3.2    0.0   0.00    2.0   20.0  19:00     51
---------------------------------------------------------------------------------------
      75.9  116.8     09   43.2     31    3.7  341.0   0.00    2.0   27.5     30     66
    
