                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2020


NAME: Longmont, CO                  
ELEV: 5000 feet    LAT: 40-00.00 N    LONG: 105-00.00 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   67.6   94.8  15:36   47.7  05:56    0.0    2.6   0.00    1.9   16.7  13:20     73
 02   71.6  108.5  17:17   45.7  06:33    0.0    6.6   0.00    1.5   10.9  12:51     67
 03   71.3  103.8  15:43   52.2  06:27    0.0    6.3   0.00    2.1   15.1  14:17     70
 04   73.0  108.9  17:22   46.2  06:37    0.0    8.0   0.00    2.0   14.2  13:22     59
 05   78.0  114.4  17:22   49.6  06:43    0.0   13.0   0.00    1.8   15.1  14:02     87
 06   77.7  104.2  12:33   55.9  05:42    0.0   12.7   0.00    1.9   17.6  14:24     65
 07   68.5   99.5  15:47   44.6  23:58    0.0    3.5   0.00    3.2   25.0  19:08     50
 08   35.7   44.4  00:05   31.8  23:30   29.3    0.0   0.00    0.0    0.0  00:00    N/A
 09   38.7   58.6  17:14   31.8  00:00   26.3    0.0   0.00    0.1    6.8  17:15    113
 10   46.2   56.3  12:08   36.1  02:45   18.8    0.0   0.00    0.0    0.0  00:00    N/A
 11   52.9   78.3  14:30   36.1  04:41   12.1    0.0   0.00    1.4   15.9  12:41     62
 12   63.7   97.9  15:49   39.0  06:03    1.3    0.0   0.00    1.5   11.8  16:02     77
 13   66.7  103.5  15:59   40.1  06:53    0.0    1.7   0.00    1.4   14.2  14:44     71
 14   68.3  109.0  16:17   42.3  06:53    0.0    3.3   0.00    1.0   13.4  15:26     71
 15   68.7  104.4  15:44   44.1  05:54    0.0    3.7   0.00    1.4   17.6  12:26     64
 16   63.5   89.1  15:14   45.0  06:02    1.5    0.0   0.00    1.1   10.9  12:10     73
 17   65.8   99.9  14:44   41.2  06:25    0.0    0.8   0.00    1.1   10.1  13:08     63
 18   64.6   94.5  15:47   44.4  06:40    0.4    0.0   0.00    1.1    8.4  11:15     65
 19   70.4  100.2  15:50   48.7  06:57    0.0    5.4   0.00    1.6   13.4  17:14     70
 20   70.3  102.7  16:18   52.7  05:49    0.0    5.3   0.00    1.7   10.1  09:35     58
 21   69.7  101.5  14:57   46.2  07:08    0.0    4.7   0.00    1.3   14.2  14:21     66
 22   68.2  104.7  15:22   45.9  06:53    0.0    3.2   0.00    1.6   13.4  17:38     67
 23   70.6   99.0  14:12   51.1  04:24    0.0    5.6   0.00    1.5   12.6  07:37     78
 24   68.4  104.0  16:01   43.3  07:02    0.0    3.4   0.00    1.1   10.1  14:30     85
 25   69.1  100.8  15:53   54.0  06:58    0.0    4.1   0.00    1.5   16.7  08:51     79
 26   70.0   92.8  14:59   52.3  23:59    0.0    5.0   0.00    2.5   21.7  20:05     64
 27   51.6   72.1  14:28   41.0  23:47   13.4    0.0   0.00    0.4   12.6  13:53     67
 28   51.2   82.2  15:52   32.4  06:50   13.8    0.0   0.00    1.1   15.1  13:42     71
 29   60.0   96.8  16:05   34.0  06:24    5.0    0.0   0.00    1.4   12.6  11:19     89
 30   58.3   87.4  14:59   41.4  07:19    6.7    0.0   0.00    1.2   15.1  10:54     67
---------------------------------------------------------------------------------------
      64.0  114.4     05   31.8     08  128.6   98.9   0.00    1.4   25.0     07     68
    
